Airport,Airport Code,Year,Month,TOTAL
Seattle/Tacoma International,SEA,2018,8,"2,513,931"
Seattle/Tacoma International,SEA,2018,9,"2,022,894"
Seattle/Tacoma International,SEA,2018,10,"1,960,168"
Seattle/Tacoma International,SEA,2018,11,"1,838,454"
Seattle/Tacoma International,SEA,2018,12,"1,918,550"
Seattle/Tacoma International,SEA,2018,TOTAL,"24,001,245"
Seattle/Tacoma International,SEA,2019,1,"1,684,959"
Seattle/Tacoma International,SEA,2019,2,"1,547,888"
Seattle/Tacoma International,SEA,2019,3,"1,988,529"
Seattle/Tacoma International,SEA,2019,4,"1,911,346"
Seattle/Tacoma International,SEA,2019,5,"2,138,294"
Seattle/Tacoma International,SEA,2019,6,"2,372,572"
Seattle/Tacoma International,SEA,2019,7,"2,525,708"
Seattle/Tacoma International,SEA,2019,8,"2,567,607"
Seattle/Tacoma International,SEA,2019,9,"2,145,302"
Seattle/Tacoma International,SEA,2019,10,"2,084,237"
Seattle/Tacoma International,SEA,2019,11,"1,880,969"
Seattle/Tacoma International,SEA,2019,12,"2,114,147"
Seattle/Tacoma International,SEA,2019,TOTAL,"24,961,558"
Seattle/Tacoma International,SEA,2020,1,"1,788,479"
Seattle/Tacoma International,SEA,2020,2,"1,710,397"
Seattle/Tacoma International,SEA,2020,3,"851,083"
Seattle/Tacoma International,SEA,2020,4,"105,875"
Seattle/Tacoma International,SEA,2020,5,"254,219"
Seattle/Tacoma International,SEA,2020,6,"503,896"
Seattle/Tacoma International,SEA,2020,7,"678,060"
Seattle/Tacoma International,SEA,2020,8,"735,474"
Seattle/Tacoma International,SEA,2020,9,"696,708"
Seattle/Tacoma International,SEA,2020,10,"755,068"
Seattle/Tacoma International,SEA,2020,11,"666,606"
Seattle/Tacoma International,SEA,2020,12,"672,217"
Seattle/Tacoma International,SEA,2020,TOTAL,"9,418,082"
Seattle/Tacoma International,SEA,2021,1,"594,386"
Seattle/Tacoma International,SEA,2021,2,"662,354"
Seattle/Tacoma International,SEA,2021,3,"1,024,730"
Seattle/Tacoma International,SEA,2021,4,"1,218,243"
